d,n,gam,gam_abs,target
16,23607,0.43887533394957723,0.024078178301986695,f_r
17,23714,0.44594288679710553,0.0246689083408535,f_r
18,23814,0.47551359556111783,0.026683455961829177,f_r
19,23564,0.48107903497601245,0.028639321846885078,f_r
20,24042,0.50225728762718,0.031186956912278515,f_r
21,23913,0.5197079476489687,0.03172785488332706,f_r
22,24223,0.5366380876303484,0.03519624848222764,f_r
23,24022,0.5925724251181881,0.039479448057822,f_r
24,24055,0.601562844087067,0.04157807450841821,f_r
25,24566,0.6087212058146334,0.0435037627479036,f_r
26,25207,0.6177115815044721,0.043730087071646766,f_r
27,25454,0.6283551753630325,0.04503618627170582,f_r
28,26279,0.6284774208486454,0.046179830699798315,f_r
29,26899,0.6892169382320663,0.05152647427859772,f_r
30,27455,0.7060120102448822,0.052228960733746124,f_r
31,28339,0.6973552261058021,0.05361730841208229,f_r
32,29296,0.6673806235504491,0.05120353079601311,f_r
33,30812,0.620085157643386,0.04728281503797222,f_r
34,32312,0.5700319361769973,0.04003877369584056,f_r
35,33379,0.5467822240745245,0.03639411492300548,f_r
36,34772,0.544383844676706,0.032934075652536525,f_r
37,34651,0.5045235243686581,0.030161276134743585,f_r
38,34739,0.5196415553234861,0.030967660529951924,f_r
39,33755,0.5691514048894397,0.03150330814042364,f_r
40,34555,0.6111272431707025,0.033554056260743745,f_r
41,37418,0.6052008163068702,0.032749565970923086,f_r
42,37974,0.6541878091700128,0.03334960153275925,f_r
43,42751,0.6902781032254164,0.032078458116769196,f_r
44,47757,0.6797227531134864,0.029339158470171912,f_r
45,50806,0.6493167673649162,0.027116247930264143,f_r
46,50926,0.6569929400113838,0.027073148335035147,f_r
47,49293,0.619231902730875,0.025902547499949285,f_r
48,58607,0.5877172064125733,0.026138383392086267,f_r
49,68346,0.6576540089539831,0.029296419044128403,f_r
50,73860,0.6356785931946394,0.030956373593081503,f_r
51,76962,0.7303156413886,0.037848031399261975,f_r
52,92467,0.8454300255748315,0.04568003476770091,f_r
53,113292,0.8715430840314495,0.051566885769207,f_r
54,158046,1.0857169540117964,0.06422122644030852,f_r
55,214391,1.1039655573383904,0.06691947626364912,f_r
56,263887,1.1411563666602538,0.06982383219942627,f_r
57,294847,1.194028820093912,0.07597853033395287,f_r
58,323432,1.2563324749617413,0.0825622104494917,f_r
59,349596,1.438581817750075,0.09648768119801142,f_r
60,354163,1.3052694754556486,0.0913583943472356,f_r
61,306535,1.2794608960757852,0.09120630099047417,f_r
62,259944,1.2335307706031358,0.09009479109348552,f_r
63,167507,1.2459084491514005,0.1003025149554944,f_r
64,92395,1.262386205275763,0.1088819699035662,f_r
65,41751,1.3871337430101205,0.12578112367967234,f_r
66,14612,1.1342539266221714,0.12653025774466192,f_r
67,3106,1.862790782603205,0.1902345464311011,f_r
68,373,2.993607444435015,0.2909274440080429,f_r
69,12,9.360107960656164,0.3994470666666666,f_r
1,230,0.0058495999530732866,2.3646643864366114e-05,map_cov
2,2900,0.047359554199876905,0.00012417575206017422,map_cov
3,3815,0.08249038157266475,0.0002506221594492479,map_cov
4,6940,0.10884305022514375,0.0003334490076193473,map_cov
5,10105,0.13729555443397598,0.00041621567984197324,map_cov
6,11298,0.16227259226048688,0.0004941219851958623,map_cov
7,12437,0.19183649650653037,0.0005780799955235098,map_cov
8,12776,0.21359010130323122,0.00063786425863962,map_cov
9,12682,0.2441048482553729,0.000738535869567231,map_cov
10,12554,0.2677586844718337,0.0007998527794994694,map_cov
11,12641,0.305683462940173,0.000933695911338611,map_cov
12,12428,0.3244826005738753,0.0010018571126412675,map_cov
13,12441,0.3438979979318986,0.0010482217239895083,map_cov
14,12040,0.37747107973652994,0.0011816943863808833,map_cov
15,12166,0.4107598155960859,0.0013230119925330965,map_cov
16,11720,0.4375341107334196,0.0014499762896100844,map_cov
17,11819,0.4442062777738283,0.0014791211689771395,map_cov
18,11890,0.46713030410248585,0.0015458710003263714,map_cov
19,11752,0.49022893340031143,0.0016855243666313376,map_cov
20,12212,0.5262834811774755,0.0018303904566462368,map_cov
21,12144,0.5442612837486944,0.0018890736142968198,map_cov
22,12544,0.585007049155679,0.002099493519453335,map_cov
23,12651,0.6613022337981236,0.002368030574813933,map_cov
24,12779,0.6944015240663611,0.002545613008199701,map_cov
25,13348,0.7500349039480603,0.002769334167490854,map_cov
26,13753,0.7722856844809194,0.002834433625647406,map_cov
27,13741,0.809683824729164,0.0029516524357731163,map_cov
28,13939,0.8454668568343765,0.0030866876601152457,map_cov
29,14456,0.8983619771961722,0.0033915045702552628,map_cov
30,14926,0.8914287149439212,0.0033006027820088623,map_cov
31,15475,0.8826751169598493,0.00330637380122609,map_cov
32,15976,0.8391828933446758,0.003111635621562729,map_cov
33,16348,0.8019247825030456,0.002973050946122483,map_cov
34,16168,0.722185790802153,0.002622438945773752,map_cov
35,16038,0.7180709307153528,0.002519420056500434,map_cov
36,15967,0.6934085338004382,0.002305944215775136,map_cov
37,15937,0.6631954539762658,0.00218900728241992,map_cov
38,16331,0.7062123203437937,0.002302484664691357,map_cov
39,17049,0.6706466457163132,0.002113310240488934,map_cov
40,17160,0.7305991831267364,0.0022267291047834343,map_cov
41,18326,0.7892947481299103,0.0022731024640428245,map_cov
42,18130,0.7946954231535638,0.0022688034198816444,map_cov
43,20999,0.8761320950352982,0.0023043624387789606,map_cov
44,22250,0.8826209435875771,0.0022110341259971218,map_cov
45,20737,0.7708453043145682,0.0019646054255040585,map_cov
46,20898,0.6851990682998632,0.0017550423559422954,map_cov
47,21660,0.5739054204268224,0.0014616628447309853,map_cov
48,25471,0.5311966732795541,0.0014671162431970945,map_cov
49,28771,0.5260801129016993,0.0014221555902081142,map_cov
50,35960,0.6357809022024221,0.0018223690745123645,map_cov
51,45121,0.7320413278182992,0.0021152487792724757,map_cov
52,54440,0.8999002534781492,0.0025823827002295643,map_cov
53,70208,0.9051647680003401,0.002531980188520307,map_cov
54,95593,1.0496044470556918,0.0029557162640368555,map_cov
55,121599,1.0679371216164608,0.0028823435766822817,map_cov
56,157839,1.1214362987447273,0.0029405245385768935,map_cov
57,188289,1.1805111372830355,0.0030338624458800096,map_cov
58,213621,1.156542721257942,0.0030854698234401277,map_cov
59,233664,1.1875249590783532,0.0032113559227857627,map_cov
60,239901,1.2066083454477095,0.0032785928251634613,map_cov
61,212955,1.2274940469957416,0.003325452629768137,map_cov
62,182718,1.1774506317226625,0.0032326944489299647,map_cov
63,126409,1.1606032768684191,0.0031895347856011123,map_cov
64,69712,1.1670466513655977,0.003171333726316659,map_cov
65,29995,1.1392094475612489,0.003105740361283023,map_cov
66,10181,1.1182942543177172,0.0032319555874043416,map_cov
67,1996,1.4247124840852594,0.0042823444157216155,map_cov
68,277,2.3160813185339855,0.006880536128147553,map_cov
69,11,4.294792927418448,0.011773119303268954,map_cov
