case_pair,feed,slot,row,col,orbit_class,multiplicity,radius,periphery,diagonal_slot,p_orig,p_tp_detransposed,d
G3_G4,125,23,2,5,interior,4,5.385164807134504,False,False,1.4845999479293823,1.4844000339508057,0.00019991397857666016
G3_G4,125,24,2,6,interior,4,6.324555320336759,False,False,1.2936999797821045,1.292099952697754,0.001600027084350586
G3_G4,125,25,2,7,interior,4,7.280109889280518,False,False,0.8651000261306763,0.8636999726295471,0.0014000535011291504
G3_G4,125,26,2,8,interior,4,8.246211251235321,True,False,0.4803999960422516,0.4797999858856201,0.0006000101566314697
G3_G4,125,27,3,0,vertical_axis,2,3.0,False,False,1.416700005531311,1.4179999828338623,-0.0012999773025512695
G3_G4,125,28,3,1,interior,4,3.1622776601683795,False,False,1.170799970626831,1.1711000204086304,-0.0003000497817993164
G3_G4,125,29,3,2,interior,4,3.605551275463989,False,False,1.2588000297546387,1.2598999738693237,-0.0010999441146850586
G3_G4,125,30,3,3,interior,4,4.242640687119285,False,True,1.3107999563217163,1.312000036239624,-0.0012000799179077148
G3_G4,125,31,3,4,interior,4,5.0,False,False,1.2102999687194824,1.2110999822616577,-0.000800013542175293
G3_G4,125,32,3,5,interior,4,5.830951894845301,False,False,1.1175999641418457,1.1174999475479126,0.00010001659393310547
G3_G4,125,33,3,6,interior,4,6.708203932499369,False,False,1.1598000526428223,1.1588000059127808,0.001000046730041504
G3_G4,125,34,3,7,interior,4,7.615773105863909,False,False,0.6471999883651733,0.6453999876976013,0.0018000006675720215
G3_G4,125,35,3,8,interior,4,8.54400374531753,True,False,0.26989999413490295,0.26989999413490295,0.0
G3_G4,125,36,4,0,vertical_axis,2,4.0,False,False,1.3166999816894531,1.320099949836731,-0.003399968147277832
G3_G4,125,37,4,1,interior,4,4.123105625617661,False,False,1.225100040435791,1.2253999710083008,-0.0002999305725097656
G3_G4,125,38,4,2,interior,4,4.47213595499958,False,False,1.0568000078201294,1.0579999685287476,-0.001199960708618164
G3_G4,125,39,4,3,interior,4,5.0,False,False,1.1057000160217285,1.1069999933242798,-0.0012999773025512695
G3_G4,125,40,4,4,interior,4,5.656854249492381,False,True,1.3443000316619873,1.3449000120162964,-0.000599980354309082
G3_G4,125,41,4,5,interior,4,6.4031242374328485,False,False,1.2186000347137451,1.2187000513076782,-0.00010001659393310547
G3_G4,125,42,4,6,interior,4,7.211102550927978,False,False,1.0331000089645386,1.0326000452041626,0.0004999637603759766
G3_G4,125,43,4,7,interior,4,8.06225774829855,True,False,0.5644000172615051,0.5637999773025513,0.0006000399589538574
G3_G4,125,44,5,0,vertical_axis,2,5.0,False,False,1.0419000387191772,1.0448999404907227,-0.00299990177154541
G3_G4,125,45,5,1,interior,4,5.0990195135927845,False,False,0.9794999957084656,0.982200026512146,-0.00270003080368042
G3_G4,125,46,5,2,interior,4,5.385164807134504,False,False,1.1176999807357788,1.118899941444397,-0.001199960708618164
G3_G4,125,47,5,3,interior,4,5.830951894845301,False,False,1.218999981880188,1.2200000286102295,-0.001000046730041504
G3_G4,125,48,5,4,interior,4,6.4031242374328485,False,False,1.2826999425888062,1.2833000421524048,-0.0006000995635986328
G3_G4,125,49,5,5,interior,4,7.0710678118654755,False,True,1.1164000034332275,1.1166000366210938,-0.00020003318786621094
G3_G4,125,50,5,6,interior,4,7.810249675906654,False,False,0.777899980545044,0.7778000235557556,9.995698928833008e-05
G3_G4,125,51,5,7,interior,4,8.602325267042627,True,False,0.3862999975681305,0.3862000107765198,9.998679161071777e-05
G3_G4,125,52,6,0,vertical_axis,2,6.0,False,False,0.8808000087738037,0.8780999779701233,0.00270003080368042
G3_G4,125,53,6,1,interior,4,6.082762530298219,False,False,0.8154000043869019,0.8154000043869019,0.0
G3_G4,125,54,6,2,interior,4,6.324555320336759,False,False,1.0151000022888184,1.0153000354766846,-0.00020003318786621094
G3_G4,125,55,6,3,interior,4,6.708203932499369,False,False,1.0988999605178833,1.0993000268936157,-0.0004000663757324219
G3_G4,125,56,6,4,interior,4,7.211102550927978,False,False,1.0049999952316284,1.0053999423980713,-0.0003999471664428711
G3_G4,125,57,6,5,interior,4,7.810249675906654,False,False,0.6721000075340271,0.6723999977111816,-0.000299990177154541
